# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0815.HK  # CHI SILVER GP
0816.HK  # JINMAO SERVICES
0817.HK  # CHINA JINMAO
0818.HK  # HI SUN TECH
0819.HK  # TIANNENG POWER
0821.HK  # VC HOLDINGS
0822.HK  # KA SHUI INT'L
0823.HK  # LINK REIT
0825.HK  # NWDS CHINA
0826.HK  # TIANGONG INT'L
0827.HK  # KO YO GROUP
0828.HK  # DYNASTY WINES
0829.HK  # SHENGUAN HLDGS
0830.HK  # CSC DEVELOPMENT
0831.HK  # CR ASIA
0832.HK  # CENTRAL CHINA
0833.HK  # ALLTRONICS
0834.HK  # SHENGRONG HLDG
0836.HK  # CHINA RES POWER
0837.HK  # CARPENTER TAN
0838.HK  # EVA HOLDINGS
0839.HK  # CHINA EDU GROUP
0840.HK  # TIANYE WATER
0841.HK  # CASSAVA RES
0842.HK  # LEOCH INT'L
0844.HK  # GREATIME INTL
0845.HK  # GLORIOUS PPT H
0846.HK  # MINGFA GROUP
0848.HK  # MAOYE INT'L
0851.HK  # SHENG YUAN HLDG
0852.HK  # STRONG PETRO
0853.HK  # MICROPORT
0854.HK  # WILLAS-ARRAY
0855.HK  # CHINA WATER
0856.HK  # VSTECS
0857.HK  # PETROCHINA
0858.HK  # EXTRAWELL PHAR
0859.HK  # ZHONGCHANG INTL
0860.HK  # APOLLO FMG
0861.HK  # DC HOLDINGS
0862.HK  # VISION VALUES
0863.HK  # OSL GROUP
0864.HK  # WING LEE PPT
0865.HK  # JIANDE INT'L
0866.HK  # CHINA QINFA
0867.HK  # CMS
0868.HK  # XINYI GLASS
0869.HK  # PLAYMATES TOYS
0871.HK  # CH DREDG ENV
0873.HK  # SHIMAO SERVICES
0874.HK  # BAIYUNSHAN PH
0875.HK  # CONGYU INTE AGR
0876.HK  # KAISA HEALTH
0878.HK  # SOUNDWILL HOLD
0880.HK  # SJM HOLDINGS
0881.HK  # ZHONGSHENG HLDG
0882.HK  # TIANJIN DEV
0883.HK  # CNOOC
0884.HK  # CIFI HOLD GP
0887.HK  # EMPEROR WATCH&J
0888.HK  # BLOCKFIN HLDG
